id,Text
0,Je suppose que je n'ai pas de réponse à cela. Est-ce que nous n'aimons pas tous les riches?
1,"""Nettoyé toute ma pièce, sur le point de regarder un film puis me coucher au lit."""
2,"""Ils obtiennent un homme incroyablement vivant, l'aimant-t-il le décalage du dessin sur les pinceaux? J'ai une application pour le lancement qui a pris du retard"""
3,Va faire une dinde sur un sandwich au blé!
4,"""Vient de télécharger ifuck app 4 me iphone ,,, une petite minge sort du bas pour pouvoir la monter !!! Je lui ai seulement donné 1 étoile"""
5,"""Elle voulait un double sens, je lui ai donné un & quot;"""
6,Bonjour à tous: Carter: vous ne devriez pas trop boire un café
7,Hey bubz ..... comment tu fais !!
8,Je vais m'asseoir dans un coin et écouter pour ne pas perdre de mo
9,chanceux!! Le mien est en route vers la ville de ninja encore et amp; Je quitte la ville avant d'arriver ici.
10,Ewww ... that sux
11,""": O, j'ai été enseigné par le bon ol 'dan et le cousin de son cousin aujourd'hui;) awyeeee .... il était un trou du cul"""
12,Zoe & zac- chaussures mignonnes ... je souhaite seulement que cette petite ville les ait eu
13,"""Alors j'ai décidé de teindre mes cheveux noirs, donc ce n'est pas super été et pas tout le monde l'aime toujours. mais je fais. la fin"""
14,"""Je connais le sentiment, donc baisé pour demain, je suis triste maintenant lol"""
15,"""Je ne peux pas être confortable, je suis assis sur mon sweat-shirt à manche éponge; d"""
16,Pourquoi l'opticien me déteste-t-il. Lunettes stoopides.
17,"""Le dérangement qui ne pourra pas tomber du ciel pourrait tomber quand les transformers 2 drop gymnase appelle mon nom, le temps de répondre!"""
18,"""À la sortie, Terminator était bien. Temps pour la gueule de bois"""
19,Ya ... ce sont mes bb ... je les aime ... et ils bougent ce week-end
20,"""Tellement fatigué et ennuyé par cette fête de la famille, mais je ne peux pas quitter les mamans bc im maman."""
21,Je sais que je pense que vous devriez essayer de demander à David de vous souhaiter de joyeux anniversaire une fois qu'il est sur. Alors je parie qu'il le fera.
22,Est égoïste
23,Up a été épuisé en regardant manana alors au lieu de manger à des roses yay lol foa à nouveau lol
24,A visité les grands-parents aujourd'hui et nous avons planifié notre voyage dans le monde de la mer dans quelques semaines. Je le souhaite!
25,La pluie désagréable à kendall toute la semaine a été semblable à cette idée de penser que je voulais toucher la plage
26,Regarder les kardashiens avec ma petite amie
27,"""J'ai été jeté dans la piscine, j'ai mouillé mon téléphone, laissé mon sac à main, et j'ai mal au cœur. Nuit géniale encore une fois."""
28,Il ne m'a pas rappelé.
29,Tellement contrarié maintenant que quelque chose ne va pas avec ma caméra ... je refuse d'en acheter une nouvelle
30,Où sont les fausses promesses de mes bonbons
31,"""Une excellente journée pour la voile, mais a eu de vieux amis à bord"""
32,Grr si fatigué (et je ne sais pas pourquoi je met à jour je n'ai pas de suiveurs)
33,"""Est au podium de Starbucks. Pas d'argent, pas de café. Seul cookie"""
34,Aller au travail ... ughh va sucer
35,"""Ok, maintenant je vais dormir lol, nager avec demain!"""
36,"""Le mécontent ou quoi ?, il ne semblait pas heureux"""
37,"""A eu un temps aveuglant dans bolton, et est vraiment désireux d'être là encore! Maintenant, j'ai juste besoin d'un travail ... la modélisation à topless devrait être bonne! Lol"""
38,coup de poing. Prend trop de temps dans mon ds quand je dois terminer super robot taisen og
39,"""& Quot; hey, je m'en fiche si votre femme travaille, demandez-lui de faire sortir ce ventre et de venir ici. & Quot; Ahahah!"""
40,Viens aux roses.
41,Pas de plage aujourd'hui
42,Qu'est-il arrivé???
43,Quiconque n'a pas lu notre blog sur youtube. C'était l'annonce ... Le rail n'est plus dans le groupe. Selena est notre nouveau 5ème membre!
44,| C'est tellement chaud
45,il pleut! il pleut!
46,"""Bien si par vous-même, vous ne m'avez pas envoyé un message pour que nous fassions des plans? * Smh n wtf u plan sur murderin sum1 ??"""
47,"""Qu'est-ce qui fait? La page automatique du livre Turner chose? Si oui, très, très cool."""
48,"""École en 10 minutes, j'ai des mathématiques, de la géographie, de l'anglais et de la science aujourd'hui. dans cet ordre. Si fatigué que je ne veux pas aller à l'école !!!!!!"""
49,J'aimerais que jonathan fasse la cuisine et que caleb turman reviendrait à Nashville avec le reste de ftsk.
50,Mon ventre me déteste
51,bien joué! - vous devrez m'envoyer votre plan d'attente toujours en attente
52,Je viens de rentrer du centre commercial
53,Le pire paabout fun nuit tard le week-end tourne votre horloge le dimanche soir / lundi matin
54,C'est mon premier tweat!
55,Pourquoi suis-je allé ce soir !!!!!!!!!! Devrait vraiment savoir quand quitter les choses
56,Santiago_steph ma mère ma mère ma mère lol lol lol omg. Alors je suis à la bibliothèque ... et ... eric entre dans;)
57,La vie est fabuleuse x
58,bonne nuit. Je vais te revoir
59,ne rien faire
60,"""Awwee, je suis vraiment désolé"""
61,"""Je t'aime plus fort, on doit le faire battre Wiff Lil Wayne quand tu reviens! Xoxo miss you se dépêche et rentre à la maison!"""
62,"""Quelqu'un a juste essayé de me vendre en payant, 000 sur de nouvelles fenêtres ... euh, je ne pense pas"""
63,Bonne chance! Faites un tour magnifique! (Je viens de rentrer d'une course et j'ai cassé une photo. C'était divin).
64,Je viens juste de me réveiller. J'ai des devoirs à faire toute la journée est-ce agréable? Je préfère aller sur le lac !!!
65,"""Merci, je suis prêt à en essayer."""
66,"""Les poupées de pussycat ont été géniales la nuit dernière, mais oh, comment je souhaite voir Lady Gaga comme l'acte d'ouverture"""
67,Mais je suis sûr qu'ils seront incroyablement embarrassants et ruineront combien fabuleux je parais avoir d'autres personnes s'ils les voient; __;
68,Yaayy maintenant je peux jouer
69,Retour au temps de travail pour marquer les prochaines vacances!
70,"""Je viens de voir le 22 juin et ça me fait penser à jenny, elle me manque tellement ..."""
71,"""Je manque ma littérature, les amis les plus importants ont eu des formes changeantes il y a quelque temps. Je serai avec des personnes nouvelles et inconnues le prochain trimestre."""
72,"""Je viens juste de constater que j'ai passé une autre nuit seule, c'est faux avec moi."""
73,"""Wow, génial, mais j'ai entendu parler de 12 ... seulement ... sur l'album de mars je veux dire"""
74,"""Non, il ne peut pas mourir. Ce film va me faire pleurer"""
75,Je passe une bonne journée au travail aujourd'hui
76,J'aime beaucoup les librairies utilisées
77,Je reçois mon œuf aujourd'hui. je veux aller à la maison maintenant
78,Ahhh enfin! 60 superbes photos de
79,"""Lignes, vignes et temps difficiles - les meilleurs aperçus de chansons jamais! Ahhh, je pourrais même mourir"""
80,C'est ce qu'il est waaaa !!! je suis triste
81,"""Hannah montana fait de toi une très bonne actrice, je la regarde tous les jours haha ​​x"""
82,Regarde ces boucles magnifiques ... fille chanceuse
83,Je pense que j'ai 0ff 2 siégez-moi si vous avez une bonne soirée
84,"""Juste chillin ici, été génial aussi!"""
85,: Désolé mon amour.
86,"""Planifier des voyages et des hôtels pour la semaine prochaine, de manchester à hereford à birmingham pour se rendre à la coque, ne pas arrêter de briller le soleil"""
87,"""J'aime aaaaanttz, hawluh! Chillen actuellement à l'hippopotame et rachelle me manque juanzkeez -christanx"""
88,Je pense que c'est parce que j'aime les brasseurs même si je ne suis pas de wi. Cela et si je ne les aimais pas me battrait.
89,Bonne maman! J'ai passé 5 minutes avec ma mère à travailler jusqu'à 8 ...
90,Je devrais vraiment m'endormir. Je dois me lever tôt demain pour faire le travail réel puisque j'ai une mission due & amp; Un examen lundi. échouer.
91,moi aussi.
92,Je veux ramasser mes jimmy choo shades. Les bureaux de poste devraient être automatiquement ouverts au soleil!
93,J'adore cette chanson!
94,Merci Boo
95,La poule est très faible en termes de protection elle-même ... même faible à Hea
96,Et j'ai écrit ce mauvais je voulais dire ... je ne pense pas que c'est une bonne idée: / ... ça a l'air amusant
97,Les shorts sont bons chez indy et chicago. Qu'est-ce que c'est quoi?
98,"""Il est triste de lire """"au revoir au Brésil"""", mais ... c'est la vie, hahaha, bientôt!"""
99,je connais. Mais je ne traine pas avec des gens unhip
100,Envoyés chercher du citron. Ont de terribles maux de tête. Nous allons avoir des sucres frais de jardin à la place!
101,"""Est impatient de regarder la finale de la saison de """"supernatural"""" quot; Va manquer les garçons ....................... xxxx"""
102,Bien awwww thanx pour me trouver mignon et aléatoire. 2 de mes choses préférées!
103,Et la pluie ne m'aide pas un peu je pense que je suis en train de fondre
104,"""Pleure, chienne, pleure"""
105,Hey brandy je continue de tweeting pas de réponse je sais que tu es occupé neway je vais continuer à essayer! Je pense que c'est le meilleur! bisous bisous
106,"""J'ai deux codes d'invitation si quelqu'un est intéressé, laissez-moi savoir"""
107,Joyeux anniversaire lachlan bristow votre groupe était cool
108,"""Je me sens une bonne semaine ici, occupé mais bon."""
109,"""Il s'appelle bing parce que """"laissez-moi google que pour vous"""" est déjà pris. (Les petites vieilles dames pensent que c'est un nom stupide.)"""
110,Il est un policier et il a été malade. Il est le policier retardé haha
111,Ma vidéo youtube a franchi 300 vues! Je souhaiterais que ce soit aussi tendance que
112,Est tout ce que & amp; Un sac de frites chaudes
113,S'est réveillé il y a quelques minutes ... ayant du jambon et du fromage pour le petit-déjeuner !!
114,Yup lol
115,"""Je ne sais sincèrement et je suis très enclin à des accidents autour des boîtes de carton au travail, c'est pourquoi j'ai des band-aids sur haha"""
116,"""Ce soir, ce n'était pas le meilleur au début plein de larmes, mais mon bébé le compense toujours. J'adore mon chéri! pour toujours et à jamais."""
117,"""La tristesse, je vais regretter la séance de coups de soirée, je suis déjà sorti pour la nuit ..."""
118,Bonne nuit ma belle jannetty!
119,"""Entre les pertes pour, et, ce fut une triste et triste semaine dans mon monde de football"""
120,"""Si heureux que vous soyez heureux maintenant, profitez de vos vacances, demi! J'espère que vous vous détendez cette semaine et profitez de votre famille. Je t'aime beaucoup fille & lt; 3"""
121,Ravi que vous ayez un coup de foudre!
